waveform	[0]		[1]	
t0	24.3.2015  13:51:24		24.3.2015  13:51:24	
delta t	2,500000E-6		2,500000E-6	

time[0]	Y[0]	time[1]	Y[1]
24.3.2015  13:51:24	-1,884171E-2	24.3.2015  13:51:24	-4,313430E-2
24.3.2015  13:51:24	-1,855161E-2	24.3.2015  13:51:24	-4,700230E-2
24.3.2015  13:51:24	-1,764907E-2	24.3.2015  13:51:24	-5,096700E-2
24.3.2015  13:51:24	-1,687547E-2	24.3.2015  13:51:24	-5,470607E-2
24.3.2015  13:51:24	-1,664984E-2	24.3.2015  13:51:24	-5,847737E-2
24.3.2015  13:51:24	-1,600517E-2	24.3.2015  13:51:24	-6,237761E-2
24.3.2015  13:51:24	-1,516710E-2	24.3.2015  13:51:24	-6,605221E-2
24.3.2015  13:51:24	-1,471584E-2	24.3.2015  13:51:24	-6,975905E-2
24.3.2015  13:51:24	-1,378107E-2	24.3.2015  13:51:24	-7,362705E-2
24.3.2015  13:51:24	-1,345874E-2	24.3.2015  13:51:24	-7,726942E-2
24.3.2015  13:51:24	-1,307194E-2	24.3.2015  13:51:24	-8,062169E-2
24.3.2015  13:51:24	-1,223387E-2	24.3.2015  13:51:24	-8,390949E-2
24.3.2015  13:51:24	-1,191154E-2	24.3.2015  13:51:24	-8,761633E-2
24.3.2015  13:51:24	-1,113793E-2	24.3.2015  13:51:24	-9,119423E-2
24.3.2015  13:51:24	-1,013870E-2	24.3.2015  13:51:24	-9,441756E-2
24.3.2015  13:51:24	-9,848601E-3	24.3.2015  13:51:24	-9,789877E-2
24.3.2015  13:51:24	-9,171700E-3	24.3.2015  13:51:24	-1,014122E-1
24.3.2015  13:51:24	-8,655966E-3	24.3.2015  13:51:24	-1,048289E-1
24.3.2015  13:51:24	-8,075766E-3	24.3.2015  13:51:24	-1,081812E-1
24.3.2015  13:51:24	-7,366632E-3	24.3.2015  13:51:24	-1,114690E-1
24.3.2015  13:51:24	-6,883132E-3	24.3.2015  13:51:24	-1,148213E-1
24.3.2015  13:51:24	-6,302932E-3	24.3.2015  13:51:24	-1,179801E-1
24.3.2015  13:51:24	-5,722731E-3	24.3.2015  13:51:24	-1,211713E-1
24.3.2015  13:51:24	-5,078064E-3	24.3.2015  13:51:24	-1,244591E-1
24.3.2015  13:51:24	-4,336697E-3	24.3.2015  13:51:24	-1,273923E-1
24.3.2015  13:51:24	-3,692030E-3	24.3.2015  13:51:24	-1,303578E-1
24.3.2015  13:51:24	-3,111830E-3	24.3.2015  13:51:24	-1,335166E-1
24.3.2015  13:51:24	-2,563863E-3	24.3.2015  13:51:24	-1,366110E-1
24.3.2015  13:51:24	-1,790262E-3	24.3.2015  13:51:24	-1,398344E-1
24.3.2015  13:51:24	-1,306762E-3	24.3.2015  13:51:24	-1,424453E-1
24.3.2015  13:51:24	-7,587949E-4	24.3.2015  13:51:24	-1,454430E-1
24.3.2015  13:51:24	-2,752946E-4	24.3.2015  13:51:24	-1,483117E-1
24.3.2015  13:51:24	4,983059E-4	24.3.2015  13:51:24	-1,511483E-1
24.3.2015  13:51:24	1,304140E-3	24.3.2015  13:51:24	-1,542105E-1
24.3.2015  13:51:24	1,787640E-3	24.3.2015  13:51:24	-1,569503E-1
24.3.2015  13:51:24	2,303374E-3	24.3.2015  13:51:24	-1,594000E-1
24.3.2015  13:51:24	3,044741E-3	24.3.2015  13:51:24	-1,619142E-1
24.3.2015  13:51:24	3,624941E-3	24.3.2015  13:51:24	-1,647830E-1
24.3.2015  13:51:24	4,269608E-3	24.3.2015  13:51:24	-1,673939E-1
24.3.2015  13:51:24	4,559708E-3	24.3.2015  13:51:24	-1,697469E-1
24.3.2015  13:51:24	5,526709E-3	24.3.2015  13:51:24	-1,723256E-1
24.3.2015  13:51:24	6,300309E-3	24.3.2015  13:51:24	-1,747753E-1
24.3.2015  13:51:24	6,848276E-3	24.3.2015  13:51:24	-1,773218E-1
24.3.2015  13:51:24	7,331777E-3	24.3.2015  13:51:24	-1,797715E-1
24.3.2015  13:51:24	8,137610E-3	24.3.2015  13:51:24	-1,823502E-1
24.3.2015  13:51:24	8,814511E-3	24.3.2015  13:51:24	-1,849611E-1
24.3.2015  13:51:24	9,426944E-3	24.3.2015  13:51:24	-1,872497E-1
24.3.2015  13:51:24	9,684811E-3	24.3.2015  13:51:24	-1,893448E-1
24.3.2015  13:51:24	1,052288E-2	24.3.2015  13:51:24	-1,915045E-1
24.3.2015  13:51:24	1,107085E-2	24.3.2015  13:51:24	-1,938253E-1
24.3.2015  13:51:24	1,152211E-2	24.3.2015  13:51:24	-1,959527E-1
24.3.2015  13:51:24	1,236018E-2	24.3.2015  13:51:24	-1,981123E-1
24.3.2015  13:51:24	1,300485E-2	24.3.2015  13:51:24	-2,002075E-1
24.3.2015  13:51:24	1,371398E-2	24.3.2015  13:51:24	-2,021415E-1
24.3.2015  13:51:24	1,393961E-2	24.3.2015  13:51:24	-2,039466E-1
24.3.2015  13:51:24	1,471321E-2	24.3.2015  13:51:24	-2,057839E-1
24.3.2015  13:51:24	1,522895E-2	24.3.2015  13:51:24	-2,079757E-1
24.3.2015  13:51:24	1,587361E-2	24.3.2015  13:51:24	-2,099098E-1
24.3.2015  13:51:24	1,664722E-2	24.3.2015  13:51:24	-2,114892E-1
24.3.2015  13:51:24	1,709848E-2	24.3.2015  13:51:24	-2,132298E-1
24.3.2015  13:51:24	1,767868E-2	24.3.2015  13:51:24	-2,150349E-1
24.3.2015  13:51:24	1,790432E-2	24.3.2015  13:51:24	-2,168722E-1
24.3.2015  13:51:24	1,864568E-2	24.3.2015  13:51:24	-2,186450E-1
24.3.2015  13:51:24	1,948375E-2	24.3.2015  13:51:24	-2,204178E-1
24.3.2015  13:51:24	1,990278E-2	24.3.2015  13:51:24	-2,217716E-1
24.3.2015  13:51:24	2,041852E-2	24.3.2015  13:51:24	-2,230288E-1
24.3.2015  13:51:24	2,106318E-2	24.3.2015  13:51:24	-2,245760E-1
24.3.2015  13:51:24	2,132105E-2	24.3.2015  13:51:24	-2,261554E-1
24.3.2015  13:51:24	2,212688E-2	24.3.2015  13:51:24	-2,276059E-1
24.3.2015  13:51:24	2,280379E-2	24.3.2015  13:51:24	-2,290242E-1
24.3.2015  13:51:24	2,315835E-2	24.3.2015  13:51:24	-2,303457E-1
24.3.2015  13:51:24	2,377079E-2	24.3.2015  13:51:24	-2,316351E-1
24.3.2015  13:51:24	2,435099E-2	24.3.2015  13:51:24	-2,327632E-1
24.3.2015  13:51:24	2,496342E-2	24.3.2015  13:51:24	-2,341170E-1
24.3.2015  13:51:24	2,541469E-2	24.3.2015  13:51:24	-2,352775E-1
24.3.2015  13:51:24	2,583372E-2	24.3.2015  13:51:24	-2,363089E-1
24.3.2015  13:51:24	2,628499E-2	24.3.2015  13:51:24	-2,371792E-1
24.3.2015  13:51:24	2,692965E-2	24.3.2015  13:51:24	-2,382107E-1
24.3.2015  13:51:24	2,754209E-2	24.3.2015  13:51:24	-2,390488E-1
24.3.2015  13:51:24	2,786442E-2	24.3.2015  13:51:24	-2,397579E-1
24.3.2015  13:51:24	2,857356E-2	24.3.2015  13:51:24	-2,408861E-1
